Timestamp,Window_Title,Category,Confidence_Reason,Duration_Seconds,FQS_Score
2025-11-08 01:04:06,data.py - HackPrinceton - Visual Studio Code,High Load,"The window title indicates that the user is using Visual Studio Code, which is an IDE used for software development and coding. This typically involves complex problem-solving and deep work.",5,98.74389392882065
2025-11-08 01:04:11,data.py - HackPrinceton - Visual Studio Code,High Load,"The window title indicates that the user is using Visual Studio Code, which is an IDE used for software development and coding. This typically involves complex problem-solving and deep work.",5,98.74389392882065
2025-11-08 01:04:16,activity_log01.csv - HackPrinceton - Visual Studio Code,High Load,"The window title indicates the use of Visual Studio Code, which is a software development tool. This implies deep and complex work typically associated with programming and code analysis, especially considering the filename 'activity_log01.csv' which suggests data-related tasks.",5,98.74389392882065
2025-11-08 01:04:21,data.py - HackPrinceton - Visual Studio Code,High Load,"The window title indicates that the user is using Visual Studio Code, which is an IDE used for software development and coding. This typically involves complex problem-solving and deep work.",5,98.74389392882065
2025-11-08 01:04:26,data.py - HackPrinceton - Visual Studio Code,High Load,"The window title indicates that the user is using Visual Studio Code, which is an IDE used for software development and coding. This typically involves complex problem-solving and deep work.",5,98.74389392882065
2025-11-08 01:04:31,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:04:36,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:04:41,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:04:46,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:04:51,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:04:56,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:05:01,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:05:06,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:05:11,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:05:16,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:05:21,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:05:26,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:05:31,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:05:36,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:05:41,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:05:46,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:05:51,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:05:56,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:06:01,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:06:06,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:06:11,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:06:16,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:06:21,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:06:26,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:06:31,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:06:36,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:06:41,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:06:46,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:06:51,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:06:56,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:07:01,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:07:06,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:07:11,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:07:16,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:07:21,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:07:26,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:07:31,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:07:36,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:07:41,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:07:46,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:07:51,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:07:56,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:08:01,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:08:06,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:08:11,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:08:16,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:08:21,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:08:26,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:08:31,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:08:36,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:08:41,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:08:46,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:08:51,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:08:56,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:09:01,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:09:06,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:09:11,Hack Princeton,High Load," 'Hack Princeton' is likely related to a hackathon event, which involves complex problem-solving, coding, and project development, all of which are high cognitive load activities.",5,98.74389392882065
2025-11-08 01:09:16,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:09:21,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:09:26,Google Gemini - Google Chrome,Low Load,"'Google Gemini - Google Chrome' indicates a simple web browsing activity, which is considered a light, non-intensive task.",5,98.74389392882065
2025-11-08 01:09:31,Digital Health Coach - Google Search - Google Chrome,Low Load,"The window title indicates a simple web search on Google Chrome, which is generally indicative of casual browsing or seeking quick information, aligning with 'Low Load' activities.",5,98.74389392882065
2025-11-08 01:09:36,Digital Health Coach - Google Search - Google Chrome,Low Load,"The window title indicates a simple web search on Google Chrome, which is generally indicative of casual browsing or seeking quick information, aligning with 'Low Load' activities.",5,98.74389392882065
2025-11-08 01:09:41,cognitive Digital Health Coach - Google Search - Google Chrome,Low Load,"Searching on Google typically involves browsing and finding information, which is a straightforward task and thus categorized as 'Low Load'.",5,98.74389392882065
2025-11-08 01:09:46,cognitive Digital Health Coach - Google Search - Google Chrome,Low Load,"Searching on Google typically involves browsing and finding information, which is a straightforward task and thus categorized as 'Low Load'.",5,98.74389392882065
2025-11-08 01:09:51,cognitive Digital Health Coach - Google Search - Google Chrome,Low Load,"Searching on Google typically involves browsing and finding information, which is a straightforward task and thus categorized as 'Low Load'.",5,98.74389392882065
2025-11-08 01:09:56,cognitive Digital Health Coach - Google Search - Google Chrome,Low Load,"Searching on Google typically involves browsing and finding information, which is a straightforward task and thus categorized as 'Low Load'.",5,98.74389392882065
2025-11-08 01:10:01,cognitive Digital Health Coach - Google Search - Google Chrome,Low Load,"Searching on Google typically involves browsing and finding information, which is a straightforward task and thus categorized as 'Low Load'.",5,98.74389392882065
